Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
9674025,0000002C,false,Rx,0,8,1E,00,2F,52,70,D5,00,80,
9679245,000000E0,false,Rx,0,8,00,00,00,08,08,00,00,B1,
9684027,0000002C,false,Rx,0,8,1E,00,2F,52,80,BD,00,80,
9689238,000000E0,false,Rx,0,8,00,00,00,08,09,00,00,AC,
9694030,0000002C,false,Rx,0,8,1E,00,2F,52,90,20,00,80,
9699241,000000E0,false,Rx,0,8,00,00,00,08,0A,00,00,8B,
9704022,0000002C,false,Rx,0,8,1E,00,2F,52,A0,9A,00,80,
9709233,000000E0,false,Rx,0,8,00,00,00,08,0B,00,00,96,
9714013,0000002C,false,Rx,0,8,1E,00,2F,52,B0,07,00,80,
9719235,000000E0,false,Rx,0,8,00,00,00,08,0C,00,00,C5,
9724017,0000002C,false,Rx,0,8,1E,00,2F,52,C0,F3,00,80,
9729229,000000E0,false,Rx,0,8,00,00,00,08,0D,00,00,D8,
9734012,0000002C,false,Rx,0,8,1E,00,2F,52,D0,6E,00,80,
9739233,000000E0,false,Rx,0,8,00,00,00,08,0E,00,00,FF,
9744015,0000002C,false,Rx,0,8,1E,00,2F,52,E0,D4,00,80,
9749226,000000E0,false,Rx,0,8,00,00,00,08,0F,00,00,E2,
9754007,0000002C,false,Rx,0,8,1E,00,2F,52,F0,49,00,80,
9759228,000000E0,false,Rx,0,8,00,00,00,08,00,00,00,59,
9764010,0000002C,false,Rx,0,8,1E,00,2F,52,00,21,00,80,
9769223,000000E0,false,Rx,0,8,00,00,00,08,01,00,00,44,
9774013,0000002C,false,Rx,0,8,1E,00,2F,52,10,BC,00,80,
9779224,000000E0,false,Rx,0,8,00,00,00,08,02,00,00,63,
9784015,0000002C,false,Rx,0,8,1E,00,2F,52,20,06,00,80,
9789228,000000E0,false,Rx,0,8,00,00,00,08,03,00,00,7E,
9794010,0000002C,false,Rx,0,8,1E,00,2F,52,30,9B,00,80,
9799223,000000E0,false,Rx,0,8,00,00,00,08,04,00,00,2D,
9804015,0000002C,false,Rx,0,8,1E,00,2F,52,40,6F,00,80,
9809220,000000E0,false,Rx,0,8,00,00,00,08,05,00,00,30,
9814001,0000002C,false,Rx,0,8,1E,00,2F,52,50,F2,00,80,
9819223,000000E0,false,Rx,0,8,00,00,00,08,06,00,00,17,
9824004,0000002C,false,Rx,0,8,1E,00,2F,52,60,48,00,80,
9829216,000000E0,false,Rx,0,8,00,00,00,08,07,00,00,0A,
9834007,0000002C,false,Rx,0,8,1E,00,2F,52,70,D5,00,80,
9839218,000000E0,false,Rx,0,8,00,00,00,08,08,00,00,B1,
9843999,0000002C,false,Rx,0,8,1E,00,2F,52,80,BD,00,80,
9849210,000000E0,false,Rx,0,8,00,00,00,08,09,00,00,AC,
9854002,0000002C,false,Rx,0,8,1E,00,2F,52,90,20,00,80,
9859213,000000E0,false,Rx,0,8,00,00,00,08,0A,00,00,8B,
9863994,0000002C,false,Rx,0,8,1E,00,2F,52,A0,9A,00,80,
9869206,000000E0,false,Rx,0,8,00,00,00,08,0B,00,00,96,
9873987,0000002C,false,Rx,0,8,1E,00,2F,52,B0,07,00,80,
9879208,000000E0,false,Rx,0,8,00,00,00,08,0C,00,00,C5,
9883990,0000002C,false,Rx,0,8,1E,00,2F,52,C0,F3,00,80,
9889203,000000E0,false,Rx,0,8,00,00,00,08,0D,00,00,D8,
9893994,0000002C,false,Rx,0,8,1E,00,2F,52,D0,6E,00,80,
9899206,000000E0,false,Rx,0,8,00,00,00,08,0E,00,00,FF,
9903987,0000002C,false,Rx,0,8,1E,00,2F,52,E0,D4,00,80,
9909208,000000E0,false,Rx,0,8,00,00,00,08,0F,00,00,E2,
9913989,0000002C,false,Rx,0,8,1E,00,2F,52,F0,49,00,80,
9919201,000000E0,false,Rx,0,8,00,00,00,08,00,00,00,59,
9923992,0000002C,false,Rx,0,8,1E,00,2F,52,00,21,00,80,
9929203,000000E0,false,Rx,0,8,00,00,00,08,01,00,00,44,
9933985,0000002C,false,Rx,0,8,1E,00,2F,52,10,BC,00,80,
9939208,000000E0,false,Rx,0,8,00,00,00,08,02,00,00,63,
9943989,0000002C,false,Rx,0,8,1E,00,2F,52,20,06,00,80,
9949210,000000E0,false,Rx,0,8,00,00,00,08,03,00,00,7E,
9953991,0000002C,false,Rx,0,8,1E,00,2F,52,30,9B,00,80,
9959202,000000E0,false,Rx,0,8,00,00,00,08,04,00,00,2D,
9963984,0000002C,false,Rx,0,8,1E,00,2F,52,40,6F,00,80,
9969195,000000E0,false,Rx,0,8,00,00,00,08,05,00,00,30,
9973976,0000002C,false,Rx,0,8,1E,00,2F,52,50,F2,00,80,
9979198,000000E0,false,Rx,0,8,00,00,00,08,06,00,00,17,
9983980,0000002C,false,Rx,0,8,1E,00,2F,52,60,48,00,80,
